url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=61442102,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=92969192,정상,Normal,50.18,0.0,정상,Normal,51.47,0.0
https://prod.danawa.com/info/?pcode=104592104,정상,Credible,71.46,0.7734,정상,Credible,72.34,0.7849
https://prod.danawa.com/info/?pcode=106758536,정상,Normal,50.03,0.0903,정상,Normal,57.25,0.1349
https://prod.danawa.com/info/?pcode=76550549,정상,Normal,59.27,0.4874,정상,Normal,63.7,0.5013
https://prod.danawa.com/info/?pcode=122618146,정상,Washing,0.0,0.0,정상,Normal,53.95,0.1288
https://prod.danawa.com/info/?pcode=93861524,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=96985328,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=93840020,정상,Normal,50.18,0.0,정상,Normal,51.47,0.0
https://prod.danawa.com/info/?pcode=46099325,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=97124351,정상,Normal,38.33,0.0,정상,Normal,38.33,0.0
https://prod.danawa.com/info/?pcode=105181859,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
